-1.753,-1.266,-1.822,-2.353,-2.07,-1.835,0.579,1.64,1.565,2.294,2.436,1.755
-0.96,-1.548,-1.175,-1.089,-0.906,-1.951,-0.637,2.263,-0.018,2.623,-0.831,2.484
-1.34,-2.363,-1.398,-1.567,-1.154,-1.868,2.42,1.393,2.334,1.905,-0.121,2.325
-0.924,-2.096,-1.931,-2.01,-1.779,-0.525,-0.03,1.955,1.679,2.123,-0.452,2.542
-1.951,-1.209,-1.814,1.056,-0.861,-1.317,0.062,2.699,2.112,2.304,-0.193,2.644
-1.66,-1.763,-1.028,-1.24,0.033,-1.116,1.808,2.455,1.908,1.629,-1.43,-2.47
-1.203,0.406,-1.315,-0.884,-1.112,0.356,-1.826,2.336,2.871,2.686,2.291,1.989
-1.027,-1.316,1.999,-1.53,-1.246,0.391,-2.791,-3.137,2.854,-2.37,1.169,2.083
-0.964,-1.227,-0.591,-1.332,-1.402,-2.417,2.427,2.809,1.942,1.993,2.47,-0.251
-1.125,-1.054,-1.839,-1.011,-1.087,-1.182,-0.393,2.521,2.596,1.312,-0.624,-0.698
-1.349,-0.984,1.144,-2.516,-2.2,-1.642,2.161,1.601,-0.974,2.22,2.22,0.481
-1.148,-1.416,-1.14,-1.364,-2.233,-1.417,-0.191,2.208,1.552,2.561,1.403,2.63
-0.901,-1.662,-1.345,-1.185,-1.927,1.692,0.287,2.743,2.674,1.513,2.6,2.731
-2.072,-2.107,-1.154,-1.152,3.016,-1.563,0.084,0.955,2.59,1.878,1.555,-2.962
-2.308,-2.82,-1.062,0.998,2.099,-1.138,-0.747,2.792,2.554,2.497,-2.734,-2.464
-2.955,1.331,-1.049,2.409,-0.966,2.775,2.101,2.264,0.113,2.668,2.503,-1.534
0.734,-1.436,-1.151,-0.795,-1.337,-2.407,2.535,-2.747,1.28,2.609,2.114,2.342
-1.063,-1.562,-1.404,-2.271,2.748,2.715,0.292,2.579,1.56,2.7,-2.92,-2.973
-0.846,-1.334,-1.478,1.467,-2.273,-0.867,-0.756,2.428,1.356,2.299,-0.608,2.157
-1.337,-1.715,-1.113,0.792,-0.986,-1.724,-0.185,2.359,1.599,2.581,-0.744,2.985
-1.088,-2.092,-1.206,-1.142,-1.407,-1.345,-3.088,-1.543,3.136,1.37,2.384,2.591
-2.384,-1.03,-1.825,1.029,-0.992,-1.62,-0.602,2.352,2.77,2.713,-3.111,2.122
-2.934,1.499,-1.466,-1.996,1.649,-1.812,-0.297,2.811,-0.038,2.399,2.323,-2.779
